[09-Jun-2015 03:44:02 UTC] PHP Parse error:  syntax error, unexpected '?' in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/.maintenance on line 2
[09-Jun-2015 03:44:17 UTC] PHP Parse error:  syntax error, unexpected 'World' (T_STRING) in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-content/maintenance.php on line 3
[09-Jun-2015 03:44:18 UTC] PHP Parse error:  syntax error, unexpected 'World' (T_STRING) in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-content/maintenance.php on line 3
[09-Jun-2015 03:44:19 UTC] PHP Parse error:  syntax error, unexpected 'World' (T_STRING) in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-content/maintenance.php on line 3
[09-Jun-2015 03:44:47 UTC] PHP Parse error:  syntax error, unexpected 'World' (T_STRING) in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-content/maintenance.php on line 3
[09-Jun-2015 03:46:25 UTC] PHP Parse error:  syntax error, unexpected 'World' (T_STRING) in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-content/maintenance.php on line 3
[09-Jun-2015 03:46:27 UTC] PHP Parse error:  syntax error, unexpected 'World' (T_STRING) in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-content/maintenance.php on line 3
[09-Jun-2015 03:48:12 UTC] PHP Fatal error:  Call to undefined function get_header() in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-content/maintenance.php on line 17
[09-Jun-2015 03:48:13 UTC] PHP Fatal error:  Call to undefined function get_header() in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-content/maintenance.php on line 17
[09-Jun-2015 03:48:15 UTC] PHP Fatal error:  Call to undefined function get_header() in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-content/maintenance.php on line 17
